City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
69,Umm Lajj,SA,77.86,clear sky,25.02,37.27,Moon light Furnished Units
70,Airai,TL,76.75,overcast clouds,-8.93,125.41,Juvinal Martin
72,Nouakchott,MR,75.2,overcast clouds,18.09,-15.98,Hôtel Iman
77,Shingu,JP,69.8,broken clouds,33.73,135.98,Shingu UI Hotel
78,Pochutla,MX,74.43,light rain,15.74,-96.47,Hotel Posada San Jose
82,Makakilo City,US,82.4,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
84,Bardiyah,LY,67.91,clear sky,31.76,25.09,بورتو بردية
88,Hobart,AU,73.99,clear sky,-42.88,147.33,St Ives Hobart Accommodation Tasmania
90,Lompoc,US,72.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
91,Bereda,ES,66.0,overcast clouds,43.27,-7.54,Pazo de Verdes
93,New Norfolk,AU,75.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
98,Atuona,PF,77.68,light rain,-9.8,-139.03,Villa Enata
99,Padang,ID,81.37,moderate rain,-0.95,100.35,Mercure Padang
101,Buchanan,LR,77.58,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
102,Bara,NG,75.24,clear sky,10.37,10.73,
105,Tezu,IN,72.77,broken clouds,27.92,96.17,Circuit House
111,Carballo,ES,66.99,broken clouds,43.21,-8.69,Pazo do Souto
114,Poso,ID,89.01,overcast clouds,-1.4,120.75,Hotel 77 Poso
116,Hilo,US,84.2,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
121,Siruguppa,IN,69.22,clear sky,15.63,76.9,ಹಾಸ್ಟೆಲ್ ಸ್ಕೂಲ್ ಬಾಯ್ಸ್
122,Bima,ID,88.79,clear sky,-8.47,118.72,Lambitu Hotel
123,Kavieng,PG,87.03,clear sky,-2.57,150.8,Nusa Island Retreat
126,Butaritari,KI,82.2,broken clouds,3.07,172.79,Isles Sunset Lodge
128,Ponta Do Sol,PT,68.0,broken clouds,32.67,-17.1,Hotel do Campo
129,Bambous Virieux,MU,66.99,few clouds,-20.34,57.76,Casa Tia Villa
131,Chandler,US,89.6,broken clouds,33.31,-111.84,Crowne Plaza Hotels & Resorts Phoenix - Chandler Golf Resort
136,Cusuna,HN,77.34,moderate rain,15.85,-85.23,
137,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
139,Mersing,MY,80.6,scattered clouds,2.43,103.84,Timotel Hotel
140,Tondon,GN,73.78,clear sky,10.37,-13.35,
141,Goianesia,BR,70.86,light rain,-15.32,-49.12,Kamur Plaza Hotel
147,Ximei,CN,77.0,few clouds,24.96,118.38,Nan'an Hotel
150,Quatre Cocos,MU,66.99,few clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
153,Pirojpur,BD,75.85,overcast clouds,22.57,89.98,Circuit House Pirojpur
154,Kapaa,US,80.6,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
155,Prabumulih,ID,79.09,light rain,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
159,Omboue,GA,75.33,overcast clouds,-1.57,9.26,Hotel Olako
161,Hambantota,LK,78.8,moderate rain,6.12,81.12,Bungalow 63
162,Bonfim,BR,79.41,light rain,3.08,-59.95,
166,Sompeta,IN,78.12,scattered clouds,18.93,84.6,V.B.R A/C Lodge And Function Hall
172,Puri,IN,78.8,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
173,Salta,AR,69.8,clear sky,-24.79,-65.41,Hotel Alejandro I
174,Mundra,IN,77.77,clear sky,22.85,69.73,Hotel Bansidhar Palace
175,Manicore,BR,80.6,clear sky,-5.81,-61.3,Pousada da wanda
178,Puerto Ayora,EC,69.01,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
183,Zambezi,ZM,65.28,clear sky,-13.54,23.1,Royal Kutachika Lodge
186,Bida,NG,76.03,scattered clouds,9.08,6.02,Royal Suite
187,Kattivakkam,IN,77.0,mist,13.22,80.32,St. Joseph Thirumana mandapam
188,Caravelas,BR,71.78,light rain,-17.71,-39.25,Pousada dos Navegantes
192,Madang,PG,87.53,broken clouds,-5.22,145.8,Comfort Inn Hotel
193,Luganville,VU,84.2,scattered clouds,-15.53,167.17,The Espiritu Hotel
197,Nanyamba,TZ,71.6,broken clouds,-10.68,39.83,Busati Lodge Nanyamba
199,Atambua,ID,87.1,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
202,Axim,GH,77.77,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
203,Taoudenni,ML,77.47,overcast clouds,22.68,-3.98,
206,Gunjur,GM,78.8,clear sky,13.2,-16.73,Kuba Lodge
208,Kununurra,AU,95.0,overcast clouds,-15.77,128.73,Hotel Kununurra
212,Victoria,HK,78.01,overcast clouds,22.29,114.16,Mini Hotel Central
214,Saint George,US,71.6,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
216,Gouyave,GD,77.0,broken clouds,12.16,-61.73,Rumboat Retreat
218,Sairang,IN,72.59,overcast clouds,23.8,92.67,Aboiha Cottage
219,Barbacoas,CO,75.54,light rain,1.67,-78.14,Hotel Terminal Plaza
220,Pacific Grove,US,68.0,clear sky,36.62,-121.92,Lovers Point Inn
221,Fare,PF,80.69,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
