City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Guerrero Negro,MX,2020-10-29 10:37:32,27.98,-114.06,60.08,54,73,0.47
101,Tiznit,MA,2020-10-29 10:37:32,29.58,-9.5,82.72,17,11,22.06
102,Batagay,RU,2020-10-29 10:37:32,67.63,134.63,3.76,93,100,1.45
103,Yulara,AU,2020-10-29 10:37:32,-25.24,130.99,86.0,20,28,17.22
104,Amuntai,ID,2020-10-29 10:36:01,-2.42,115.25,82.8,71,86,1.03
105,Hermanus,ZA,2020-10-29 10:37:33,-34.42,19.23,60.01,71,86,10.0
106,Mahebourg,MU,2020-10-29 10:37:33,-20.41,57.7,73.99,72,54,11.99
107,Vao,NC,2020-10-29 10:37:33,-22.67,167.48,73.02,80,32,15.59
108,Hobart,AU,2020-10-29 10:35:41,-42.88,147.33,55.4,71,0,5.82
109,Melfi,IT,2020-10-29 10:37:34,41.0,15.65,64.4,45,0,8.05
110,Saldanha,ZA,2020-10-29 10:37:34,-33.01,17.94,60.8,58,75,11.41
111,Sao Filipe,CV,2020-10-29 10:37:34,14.9,-24.5,81.46,71,3,2.53
112,Narsaq,GL,2020-10-29 10:37:34,60.92,-46.05,32.0,90,75,4.7
113,Hasaki,JP,2020-10-29 10:37:34,35.73,140.83,57.2,82,20,3.36
114,Cape Town,ZA,2020-10-29 10:35:49,-33.93,18.42,66.0,55,75,13.87
115,Lorengau,PG,2020-10-29 10:37:35,-2.02,147.27,81.54,77,54,4.83
116,Ornskoldsvik,SE,2020-10-29 10:37:35,63.29,18.72,44.6,100,6,12.75
117,Mokhsogollokh,RU,2020-10-29 10:37:35,61.47,128.92,0.07,92,13,2.33
118,Nelson Bay,AU,2020-10-29 10:37:36,-32.72,152.15,59.0,93,31,5.82
119,Yellowknife,CA,2020-10-29 10:37:36,62.46,-114.35,17.01,92,75,9.17
120,Constitucion,CL,2020-10-29 10:37:36,-35.33,-72.42,47.79,67,0,7.18
121,Fairbanks,US,2020-10-29 10:35:14,64.84,-147.72,19.4,85,90,0.63
122,Bendigo,AU,2020-10-29 10:37:37,-36.77,144.28,55.0,52,84,3.0
123,Hualmay,PE,2020-10-29 10:37:37,-11.1,-77.61,61.41,87,62,5.06
124,Broome,US,2020-10-29 10:37:37,42.25,-75.83,43.0,87,75,1.63
125,Lantawan,PH,2020-10-29 10:37:37,10.62,123.98,84.2,79,75,5.82
126,Puerto Ayora,EC,2020-10-29 10:37:38,-0.74,-90.35,66.99,98,96,1.99
127,Manaus,BR,2020-10-29 10:37:38,-3.1,-60.02,78.8,88,40,2.24
128,Tanuma,JP,2020-10-29 10:37:38,36.37,139.58,69.01,54,55,3.0
129,Nyurba,RU,2020-10-29 10:37:38,63.28,118.33,2.07,92,0,6.31
130,Kieta,PG,2020-10-29 10:37:39,-6.22,155.63,80.89,77,99,2.8
131,Itaituba,BR,2020-10-29 10:37:39,-4.28,-55.98,81.19,73,58,1.79
132,Bloemfontein,ZA,2020-10-29 10:37:39,-29.12,26.21,82.4,26,20,13.87
133,Altamira,BR,2020-10-29 10:32:49,-3.2,-52.21,75.2,100,0,4.97
134,Poum,NC,2020-10-29 10:37:40,-20.23,164.02,76.48,76,53,19.75
135,Manitowoc,US,2020-10-29 10:37:40,44.07,-87.8,41.0,86,90,9.17
136,Bethel,US,2020-10-29 10:33:32,41.37,-73.41,48.2,93,90,3.11
137,Karratha,AU,2020-10-29 10:35:46,-20.74,116.85,75.29,78,0,10.92
138,Ketchikan,US,2020-10-29 10:32:44,55.34,-131.65,41.0,100,90,3.13
139,Carnarvon,AU,2020-10-29 10:37:41,-24.87,113.63,75.2,78,73,13.87
140,Huntington,US,2020-10-29 10:37:41,38.42,-82.45,57.99,100,90,6.93
141,Cabo San Lucas,MX,2020-10-29 10:33:28,22.89,-109.91,63.0,77,28,3.0
142,Santa Fe,AR,2020-10-29 10:37:42,-31.63,-60.7,57.99,68,0,1.99
143,Isangel,VU,2020-10-29 10:37:42,-19.55,169.27,74.59,80,2,12.57
144,Sidrolandia,BR,2020-10-29 10:37:42,-20.93,-54.96,66.2,93,75,11.41
