City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Kruisfontein,ZA,-34.0,24.73,64.0,83,30,6.02,scattered clouds
128,Ponta Do Sol,PT,32.67,-17.1,68.0,82,75,4.7,broken clouds
129,Bambous Virieux,MU,-20.34,57.76,66.99,100,20,4.7,few clouds
130,Fortuna,US,40.6,-124.16,55.99,87,1,8.05,clear sky
131,Chandler,US,33.31,-111.84,89.6,15,75,8.05,broken clouds
132,College,US,64.86,-147.8,1.99,77,20,1.23,few clouds
133,Saldanha,ZA,-33.01,17.94,64.4,63,0,3.36,clear sky
134,Chuy,UY,-33.7,-53.46,53.35,83,0,5.55,clear sky
135,Torrington,US,41.8,-73.12,48.99,98,93,5.01,light rain
136,Cusuna,HN,15.85,-85.23,77.34,88,100,6.96,moderate rain
137,Bathsheba,BB,13.22,-59.52,82.4,78,40,21.92,scattered clouds
138,Cidreira,BR,-30.18,-50.21,61.99,66,3,6.73,clear sky
139,Mersing,MY,2.43,103.84,80.6,88,40,4.7,scattered clouds
140,Tondon,GN,10.37,-13.35,73.78,92,2,1.19,clear sky
141,Goianesia,BR,-15.32,-49.12,70.86,85,100,4.21,light rain
142,Kargopol,RU,61.51,38.95,27.1,97,36,2.93,scattered clouds
143,Amazar,RU,53.86,120.88,9.72,77,85,12.01,overcast clouds
144,Mvuma,ZW,-19.28,30.53,58.5,87,100,4.92,overcast clouds
145,Kuytun,RU,54.34,101.5,16.9,91,55,8.97,broken clouds
146,Kirkwall,GB,58.98,-2.96,50.0,76,4,29.97,clear sky
147,Ximei,CN,24.96,118.38,77.0,53,20,15.66,few clouds
148,Krasnoselkup,RU,65.7,82.47,22.08,97,99,16.31,overcast clouds
149,Pangody,RU,65.85,74.49,26.13,97,70,18.25,broken clouds
150,Quatre Cocos,MU,-20.21,57.76,66.99,100,20,4.7,few clouds
151,Bonavista,CA,48.65,-53.11,37.99,74,0,5.82,clear sky
152,Sondrio,IT,46.17,9.87,46.99,77,100,2.8,overcast clouds
153,Pirojpur,BD,22.57,89.98,75.85,95,90,6.22,overcast clouds
154,Kapaa,US,22.08,-159.32,80.6,78,75,11.41,broken clouds
155,Prabumulih,ID,-3.45,104.25,79.09,83,100,1.54,light rain
156,Vestmannaeyjar,IS,63.44,-20.27,38.08,74,1,18.72,clear sky
157,Luderitz,NA,-26.65,15.16,62.46,63,100,8.12,overcast clouds
158,Narsaq,GL,60.92,-46.05,24.8,68,0,3.36,clear sky
159,Omboue,GA,-1.57,9.26,75.33,92,100,3.13,overcast clouds
160,Mar Del Plata,AR,-38.0,-57.56,60.01,87,0,2.24,clear sky
161,Hambantota,LK,6.12,81.12,78.8,100,90,1.12,moderate rain
162,Bonfim,BR,3.08,-59.95,79.41,79,100,5.23,light rain
163,Sabha,LY,27.04,14.43,60.53,63,0,8.93,clear sky
164,Praia Da Vitoria,PT,38.73,-27.07,62.6,82,75,12.86,broken clouds
